,a,b,c,d,g,rmse,mae,mape
0.97,1.0107248047688466,-0.008835948453991964,-9.459288297210987,13.360326883002024,0.2973017090946499,0.0097512339494313,0.008676450800516333,4.349708696072333
1,1.0077600785169998,-0.013730838477938209,-11.162981096986934,13.469248891254077,0.2372576602601595,0.008992118310900951,0.008210391574113554,4.946683627403725
1.03,1.0073309079735984,-0.010750244576100037,-10.928144977008653,13.143096098321,0.25234034330552835,0.008333225577629628,0.007441951035375437,4.10620073620704
1.06,1.0084779765224672,-0.006371811649987897,-10.125772995375474,12.722254086804915,0.28914887736703826,0.008555163626629227,0.007270146651126313,3.3861629961402357
1.09,1.007460026583798,-0.007244056674745911,-11.101665836489195,12.672183610201715,0.25939674457083983,0.007682619431965282,0.006826983929097696,3.4901036140363004
1.12,1.006723110283858,-0.008600745851339006,-11.71948503693036,12.573625696016094,0.24325005601704122,0.00722365108280386,0.006328881957299629,3.374859956860677
1.15,1.0066080079672635,-0.006641710823675076,-11.627307253842458,12.358270980712227,0.2515883596982651,0.0070986197375510224,0.006182938843165478,2.9066184821354977
1.18,1.0057256678482336,-0.009780134693542638,-13.273543952527984,12.369871172427883,0.21323611419397298,0.0062805689900380995,0.005751273095856718,3.1293528686450673
1.21,1.0059553928000056,-0.006345605702905342,-12.487256740891052,12.075666951052549,0.23797187616605525,0.0062337062228916724,0.0054951473205907845,2.3371786704588473
1.225,1.0054163849412394,-0.009437398012484355,-13.778545227071003,12.156142248589155,0.2075503914898624,0.005792600836210565,0.005401948275448355,2.7272622826346735
1.24,1.00536688081151,-0.008642181270290662,-14.019652133349867,12.08712355044993,0.20501652556803615,0.0056718215646502325,0.005317345124618388,2.7439335573070336
1.27,1.0052857541137696,-0.009792536785359887,-15.084386848600754,12.016170985926161,0.1886642426576261,0.005531752333685406,0.005200055294387585,2.7433449065925593
