,a,d,b,c,g,rmse,mae,mape
0.97,1.008993403398752,-0.010219697703919077,-9.879159829775356,13.447033279277184,0.2803969607102656,0.009475083070252802,0.008397231190768866,4.312817533330683
1,1.0084330906210917,-0.009482155093894563,-10.268134408884531,13.247584937639056,0.2720823025866934,0.008937050877901526,0.007933705900710753,4.08929933498982
1.03,1.0073250800277465,-0.010646677910440355,-10.931344016539658,13.141509065716404,0.25240940515738247,0.008333488993058512,0.007437421212901093,4.114544539093894
1.06,1.0073318025766174,-0.00847728351816929,-10.971595854664871,12.881204405994346,0.2581046983955242,0.00795791121691805,0.007114813684342866,3.819909379986582
1.09,1.0064268403490142,-0.00875893041622992,-11.568963440185517,12.74325209883489,0.24480146573880102,0.007374303319726435,0.0065831038667986674,3.570291987415787
1.12,1.006432036658788,-0.00913341651057509,-11.865595015722272,12.58979155507124,0.23931181408210622,0.0070894262861789185,0.006230484617422985,3.3370880291728864
1.15,1.006117282060267,-0.008406961499253428,-12.187758858256203,12.430168831207292,0.23549990994441908,0.006698904601605877,0.005971110229434209,3.032470782588772
1.18,1.0057619908652282,-0.009158021014741304,-12.82966184781106,12.319775373314975,0.22318243295761053,0.0062885973162323605,0.005758262232119126,2.9210570435144083
1.21,1.0055904527035346,-0.008136844995673057,-13.488651860490174,12.202225427408951,0.21336900300292286,0.005978747148626083,0.005529889180394012,2.8729112988969576
1.225,1.0053586387186144,-0.00931187483986735,-13.779814053684966,12.152026966934267,0.20755869180557823,0.005788050810432122,0.005414915381093247,2.7755680354652092
1.24,1.0053659966974204,-0.008644288708021027,-14.019652133349867,12.087086698626758,0.20501683140633523,0.005671132526974069,0.005316792405152547,2.743395407644923
1.27,1.0053066216242088,-0.00901326982436016,-14.71433932836437,11.982947056857176,0.19519292077015993,0.005458972761867893,0.005136129169691838,2.6281534818540155
