,0.97,1,1.03,1.06,1.09,1.12,1.15,1.18,1.21,1.225,1.24,1.27
4,0.0317,,,,,,,,,,,0.0383
5,0.0600,,,,,,,,,,,0.0747
6,0.1012,,,,,,,,,,,0.1292
7,0.1572,,,,,,,,,,,0.2051
8,0.2302,,,,,,,,,,,0.3060
9,0.3213,,,,,,,,,,,0.4345
10,0.4304,,,,,,,,,,,0.5884
11,0.5531,,,,,,,,,,,0.7504
12,0.6785,,,,,,,,,,,0.8804
13,0.7898,,,,,,,,,,,0.9523
14,0.8735,,,,,,,,,,,0.9821
15,0.9278,,,,,,,,,,,0.9932
16,0.9595,,,,,,,,,,,0.9973
17,0.9773,,,,,,,,,,,0.9989
18,0.9870,,,,,,,,,,,0.9995
19,0.9924,,,,,,,,,,,0.9998
20,0.9955,,,,,,,,,,,0.9999
21,0.9972,,,,,,,,,,,0.9999
22,0.9983,,,,,,,,,,,1.0000
23,0.9989,,,,,,,,,,,1.0000
24,0.9993,,,,,,,,,,,1.0000
25,0.9995,,,,,,,,,,,1.0000
mfr-4,0.0177,,,,,,,,,,,0.0270
mfr-5,0.0473,,,,,,,,,,,0.0660
mfr-6,0.0903,,,,,,,,,,,0.1227
mfr-7,0.1503,,,,,,,,,,,0.2013
mfr-8,0.2303,,,,,,,,,,,0.3070
mfr-9,0.3317,,,,,,,,,,,0.4407
mfr-10,0.4470,,,,,,,,,,,0.5917
mfr-11,0.5620,,,,,,,,,,,0.7420
mfr-12,0.6700,,,,,,,,,,,0.8760
mfr-13,0.7700,,,,,,,,,,,0.9630
mfr-14,0.8627,,,,,,,,,,,0.9937
mfr-15,0.9383,,,,,,,,,,,0.9993
mfr-16,0.9810,,,,,,,,,,,1.0000
mfr-17,0.9960,,,,,,,,,,,1.0000
mfr-18,0.9993,,,,,,,,,,,1.0000
mfr-19,1.0000,,,,,,,,,,,1.0000
mfr-20,1.0000,,,,,,,,,,,1.0000
mfr-21,1.0000,,,,,,,,,,,1.0000
mfr-22,1.0000,,,,,,,,,,,1.0000
mfr-23,1.0000,,,,,,,,,,,1.0000
mfr-24,1.0000,,,,,,,,,,,1.0000
mfr-25,1.0000,,,,,,,,,,,1.0000
